Team,Season,W/L%,PER_Unit_1,PER_Unit_2,PER_Unit_combined,PER_Unit_1_Rank,PER_Unit_2_Rank,PER_Unit_combined_Rank,DRtg_Unit_1,DRtg_Unit_2,DRtg_Unit_combined,DRtg_Unit_1_Rank,DRtg_Unit_2_Rank,DRtg_Unit_combined_Rank
Golden State Warriors,2015/16,0.89,93.9,68.6,162.5,2.0,12.0,3.0,522.0,520.0,1042.0,19.0,19.0,25.0
San Antonio Spurs,2015/16,0.8170000000000001,89.69999999999999,79.2,168.89999999999998,3.0,1.0,1.0,499.0,491.0,990.0,25.0,22.0,29.0
Cleveland Cavaliers,2015/16,0.695,86.1,76.6,162.7,6.0,2.0,2.0,523.0,633.0,1156.0,18.0,1.0,1.0
Toronto Raptors,2015/16,0.6829999999999999,81.5,72.4,153.9,15.0,5.0,5.0,528.0,524.0,1052.0,15.0,17.0,20.0
Oklahoma City Thunder,2015/16,0.6709999999999999,94.6,59.2,153.79999999999998,1.0,26.0,6.0,525.0,536.0,1061.0,17.0,10.0,18.0
Los Angeles Clippers,2015/16,0.6459999999999999,89.3,58.9,148.2,4.0,28.0,13.0,521.0,525.0,1046.0,20.0,16.0,22.0
Atlanta Hawks,2015/16,0.585,81.69999999999999,67.3,149.0,14.0,13.0,11.0,506.0,515.0,1021.0,24.0,21.0,28.0
Boston Celtics,2015/16,0.585,80.8,69.3,150.1,16.0,11.0,8.0,519.0,517.0,1036.0,21.0,20.0,26.0
Charlotte Hornets,2015/16,0.585,83.10000000000001,66.4,149.5,11.0,15.0,10.0,522.0,521.0,1043.0,19.0,18.0,24.0
Miami Heat,2015/16,0.585,84.9,70.7,155.60000000000002,9.0,7.0,4.0,518.0,532.0,1050.0,22.0,13.0,21.0
Indiana Pacers,2015/16,0.5489999999999999,76.8,70.6,147.39999999999998,21.0,8.0,14.0,514.0,515.0,1029.0,23.0,21.0,27.0
Portland Trail Blazers,2015/16,0.537,82.0,64.8,146.8,13.0,19.0,15.0,541.0,537.0,1078.0,7.0,9.0,14.0
Detroit Pistons,2015/16,0.537,74.6,70.1,144.7,22.0,10.0,21.0,527.0,531.0,1058.0,16.0,14.0,19.0
Dallas Mavericks,2015/16,0.512,72.6,73.4,146.0,25.0,4.0,17.0,536.0,535.0,1071.0,12.0,11.0,16.0
Chicago Bulls,2015/16,0.512,83.0,59.0,142.0,12.0,27.0,24.0,535.0,537.0,1072.0,13.0,9.0,15.0
Memphis Grizzlies,2015/16,0.512,80.0,70.4,150.4,17.0,9.0,7.0,537.0,542.0,1079.0,11.0,8.0,13.0
Houston Rockets,2015/16,0.5,80.0,65.5,145.5,17.0,17.0,19.0,539.0,548.0,1087.0,9.0,5.0,9.0
Washington Wizards,2015/16,0.5,74.3,75.7,150.0,23.0,3.0,9.0,528.0,533.0,1061.0,15.0,12.0,18.0
Utah Jazz,2015/16,0.488,85.9,59.3,145.2,7.0,25.0,20.0,514.0,530.0,1044.0,23.0,15.0,23.0
Orlando Magic,2015/16,0.427,83.30000000000001,65.6,148.9,10.0,16.0,12.0,534.0,535.0,1069.0,14.0,11.0,17.0
Sacramento Kings,2015/16,0.402,85.8,63.1,148.9,8.0,22.0,12.0,538.0,546.0,1084.0,10.0,6.0,11.0
Denver Nuggets,2015/16,0.402,79.1,66.5,145.6,18.0,14.0,18.0,544.0,548.0,1092.0,5.0,5.0,7.0
Milwaukee Bucks,2015/16,0.402,86.1,60.3,146.39999999999998,6.0,24.0,16.0,540.0,546.0,1086.0,8.0,6.0,10.0
New York Knicks,2015/16,0.39,78.2,62.2,140.4,20.0,23.0,25.0,537.0,544.0,1081.0,11.0,7.0,12.0
New Orleans Pelicans,2015/16,0.366,78.9,63.8,142.7,19.0,21.0,23.0,547.0,548.0,1095.0,4.0,5.0,5.0
Minnesota Timberwolves,2015/16,0.354,88.0,55.8,143.8,5.0,29.0,22.0,544.0,562.0,1106.0,5.0,2.0,4.0
Phoenix Suns,2015/16,0.28,66.0,67.3,133.3,27.0,13.0,29.0,549.0,542.0,1091.0,3.0,8.0,8.0
Brooklyn Nets,2015/16,0.256,73.9,64.3,138.2,24.0,20.0,26.0,555.0,554.0,1109.0,2.0,3.0,3.0
Los Angeles Lakers,2015/16,0.207,70.3,65.2,135.5,26.0,18.0,27.0,558.0,562.0,1120.0,1.0,2.0,2.0
Philadelphia 76ers,2015/16,0.122,62.3,71.1,133.39999999999998,28.0,6.0,28.0,543.0,550.0,1093.0,6.0,4.0,6.0
Golden State Warriors,2014/15,0.8170000000000001,90.9,81.30000000000001,172.20000000000002,5.0,3.0,1.0,509.0,507.0,1016.0,22.0,25.0,30.0
Atlanta Hawks,2014/15,0.732,92.7,63.8,156.5,3.0,21.0,10.0,515.0,520.0,1035.0,20.0,18.0,24.0
Los Angeles Clippers,2014/15,0.6829999999999999,97.3,58.3,155.6,1.0,29.0,12.0,527.0,531.0,1058.0,12.0,10.0,16.0
Houston Rockets,2014/15,0.6829999999999999,76.5,77.8,154.3,24.0,8.0,13.0,523.0,509.0,1032.0,14.0,23.0,25.0
San Antonio Spurs,2014/15,0.6709999999999999,89.7,78.9,168.60000000000002,6.0,6.0,2.0,505.0,516.0,1021.0,23.0,20.0,28.0
Memphis Grizzlies,2014/15,0.6709999999999999,85.9,65.7,151.60000000000002,9.0,18.0,17.0,509.0,511.0,1020.0,22.0,22.0,29.0
Cleveland Cavaliers,2014/15,0.6459999999999999,96.3,61.5,157.8,2.0,26.0,7.0,531.0,533.0,1064.0,10.0,8.0,13.0
